sent	label
~7678^~6773^7333^209v~3663^7872v~1155	1
~2309v~7759	1
3859^~1248^~7624v8139^6079^~5912	0
~1053	1
~3550	0
~2413	1
~5555^7784^~4812^~84v3836v~8945^4698^~6790^~6625	1
~4697^4170^2020v3454^~4114	1
~359^8987^1224^~6359^1742v4723^9385v~6950^3204	1
~7319^8026v~8199^9219^~5635^3395^6122v1963^~3461^~6288v5333^~1396^1260^~3013v2553^579	1
5857^9551^1232^7719v~8186^~7950^~3893^2128^~34v2736^4311^~1652v~1965^~3409^7425^5926v5110^~2239^~169^~7623	1
1881v8821^~9149^3726^7200^~9907v469^35^~8674^3339^2654	0
4955^~4309^~4197^6742^~638v~8156v~9321v~92^~2148^~4710^~7405^7649v9350^1189^~7402	1
~4660^~6330^~1602^~391^6765v486	0
4639^~3410^9612^~898^~8792v~6439v~5466^~2823v5466^759	1
444^6432^~8850v~5744^~2341^~3156	0
8250^3607^2419^1140^9273v3042^8680^~1057^~5021v~5412^~2545^3153^~6083^~9898	0
1076^~9256v6022^13v4306^3132^~3879^3415^~5900v~1503v~5592	1
~6784^2775^7993^798^9006v~9949^7588^~1741v626^~2497^~8984^6596v6969	0
9673^9888^~2172^~308^7943v~788^~1663^~7931^2276v9277^7175	0
9504^~1942^6608^4600^6531v~9857^~8853^~1120^~7772^~8722	0
5867^~1222^~3809^6818v~6480^8734	0
4064^~2892^~9848^~5313^~4887	0
2846^~8794^8369v~8182	1
2995	0
~6308^7260^8462^~8570^~8285v~9378^~8252^8675	0
~4807^~5419^6528	0
~3693^~8219^~9155^~4747v2148^~259^4793^~8677v4945^~1805^~2020^~1904^8622v~6220^7769^4380v2798	0
~1210^~8857^9584^~7557v~3612^~6372^~444^6190^~1914v~3869^5913v~2981^2209^~5035^3988^10000	0
9749^~105^1504^~7045^~1234v3064^~854v~7413^~1747v~7737^~2564^2043^1017^8564	0
~1669^555^~1253	0
~2055^3373^9898^3569^~6251v~5805^1227^~3718^~8608^~182	0
1328^~6166v5481^6203^2656^8521^~9152v4751v9891^8327^3371v3193^~1851^5213^~5589^7541	1
8688^7927^~3318	0
~670v~829v426^~2719	1
~4543^~9814^165^3342^~6072v4227v~1255^2145	1
