variable	value
1	0
2	0
3	0
4	1
5	1
6	0
7	0
8	0
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	0
17	1
18	0
19	0
20	0
21	1
22	1
23	0
24	0
25	0
26	1
27	1
28	0
29	1
30	0
31	1
32	0
33	1
34	0
35	1
36	0
37	0
38	1
39	1
40	0
41	1
42	0
43	0
44	0
45	1
46	0
47	1
48	1
49	1
50	0
51	0
52	1
53	1
54	1
55	1
56	1
57	0
58	0
59	1
60	1
61	1
62	0
63	1
64	1
65	1
66	0
67	0
68	1
69	1
70	1
71	1
72	0
73	0
74	1
75	1
76	1
77	0
78	0
79	1
80	0
81	0
82	1
83	1
84	0
85	1
86	1
87	0
88	1
89	0
90	1
91	1
92	0
93	1
94	0
95	0
96	1
97	1
98	0
99	1
100	0
101	1
102	0
103	0
104	1
105	1
106	1
107	1
108	0
109	0
110	1
111	0
112	0
113	1
114	0
115	0
116	1
117	0
118	0
119	0
120	1
121	1
122	0
123	0
124	1
125	1
126	0
127	1
128	0
129	0
130	1
131	1
132	0
133	0
134	1
135	0
136	0
137	1
138	1
139	0
140	1
141	1
142	1
143	1
144	0
145	1
146	0
147	0
148	0
149	0
150	1
151	1
152	1
153	0
154	0
155	1
156	1
157	0
158	0
159	0
160	1
161	0
162	1
163	0
164	0
165	0
166	0
167	1
168	0
169	1
170	1
171	1
172	0
173	0
174	0
175	0
176	1
177	1
178	1
179	0
180	0
181	1
182	1
183	1
184	1
185	1
186	0
187	0
188	0
189	1
190	1
191	1
192	0
193	1
194	0
195	1
196	0
197	1
198	0
199	0
200	1
201	0
202	1
203	0
204	1
205	0
206	0
207	0
208	0
209	0
210	0
211	1
212	1
213	1
214	0
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	0
224	0
225	1
226	1
227	0
228	1
229	0
230	1
231	1
232	1
233	1
234	0
235	0
236	0
237	0
238	0
239	0
240	1
241	0
242	1
243	1
244	1
245	0
246	1
247	1
248	1
249	0
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	0
262	0
263	1
264	1
265	0
266	0
267	1
268	1
269	0
270	1
271	1
272	0
273	0
274	1
275	1
276	0
277	0
278	1
279	0
280	0
