sent	label
~593^924^29v874^796^27^826	0
329^636^~989^333^~920	0
~65^707	0
252^584^~313v~916^467v430v875^~340^332^~807	0
849^~477^~512v271v~249	1
~486^930^~207^~334v~749^~328^~130^732^714v414^~496^~371^624	0
~198^~864v~998^975v~207^993v986	1
~504^626^123^116^~235	0
56^832^~19^280v~79^~600v~327^~295^~95^~295^950v~100^~27^709	1
~536^~648^148^479^~845v487^~106^~39v834^459	1
202^341^~809^~868v~523v~956^873^94^12^971v~769^11^~821^~769^503	0
~205^~416^~302^~877v737^417^87	0
703^~822^351^~292^219v247v~347^69^~550^215^~806v~66v807	1
~581v938v461^~726^~526^~143v392	1
629^~96^~740^~241v243^~330v384^~749^876^~283v42^66^~985^~698	1
~515^~378^~932^836^~167v481^~177^~502^323^~652v316^~610^26^735v47^108^~642^~461v~919^676^~791^~259^~559	1
~844^~309^743^~121v~433^300^749^943v~197^695	0
940^~60^~688^~401v~355^~78v495^739^~368	1
710^158v812^~481^661	1
63^732^~11v~673^330^~652^853^~785v~752v~930^158^678^~995v~644^780	1
157^~222^725^329v403^931v~783v594^781	1
212^542^333^325v~109v798^~17v~486	1
~838^~964^31^55v816^604^716^~186^~955v~600^216^~272^173^401v767^801^~438	0
~360^925^~609^~930^~198v~340^~195^985^435v811^~622v~218^547v472	1
320^~610^~482v89^~665^322^~641^~819v~697^334^~27	0
556^~965^464^~651^~185v624^~861^~585v723^877^~217^117^~29v~733^~61^181	0
~286^~584^890^434v~755^~32v~840^582^385^173^~251v592^320^219^103	0
284^~908^227^520v~313v~860^221^153v727	1
~247^~785^128^160v~945v~753	0
304v~358^361v~925^184^875^~625^108v~998v~466^~114^~161	1
960^783^~249^~346v315^~865v7^~234^235^~940^~995v~741	0
~348^~463v~432^239^~405v20	1
325^9v530^602^695v342^869^490	1
696^944^~987^628v~146v~343^828^967^519^~144	0
~148^969v323^628^487^~222	0
~419^729^102^882^693v~261^~373^~109^402^122v35^~726^343^~669v~557	0
~657^~65^~742^~149^~497v45^~616^~195	0
64^~434^~938^~412^47	0
~226^463	1
929^316^694^482^479v429^~534	0
564v~598v491^~427^~866^240^~146v926^~66^~703^938	1
~69^~561^~752^~57^~723v422^417^345^~45v~987v681^~947^~84v875^212^823^~746	1
