iid	i_year	i_Action	i_Adventure	i_Animation	i_Children's	i_Comedy	i_Crime	i_Documentary 	i_Drama 	i_Fantasy 	i_Film-Noir 	i_Horror 	i_Musical 	i_Mystery 	i_Romance 	i_Sci-Fi 	i_Thriller 	i_War 	i_Western	i_Other
1	13	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
2	13	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
3	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
4	13	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
5	13	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1
6	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
7	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1
8	13	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1
9	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
11	13	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
12	13	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
13	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
14	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
15	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
16	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
17	14	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1
18	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
19	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
20	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
21	14	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1
22	14	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
23	14	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
24	14	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
25	14	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
26	13	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
27	13	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28	13	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
29	13	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
30	4	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
31	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
32	12	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
33	13	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
34	13	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
35	13	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
36	13	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
37	12	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
