uid	u_age	u_gender	u_occupation
1	4	1	2
2	10	2	1
3	4	1	3
4	4	1	2
5	6	2	1
6	8	1	4
7	11	1	5
8	7	1	5
9	5	1	6
10	10	1	7
11	7	2	1
12	5	2	1
13	9	1	8
14	9	1	9
15	9	2	8
16	4	1	10
17	6	1	11
18	7	2	1
19	8	1	12
20	8	2	13
21	5	1	3
22	5	1	3
23	6	2	14
24	4	2	14
25	7	1	15
26	9	1	15
27	8	2	12
28	6	1	3
29	8	1	11
30	1	1	6
31	4	1	14
32	5	2	6
33	4	1	6
34	7	2	5
35	4	2	13
36	3	2	6
37	4	1	6
38	5	2	1
39	8	1	10
40	7	1	9
41	6	1	15
42	6	1	5
43	5	2	12
44	5	1	2
45	5	1	11
46	5	2	16
47	10	1	16
48	9	1	5
49	4	2	6
50	4	1	3
51	5	1	8
52	3	2	6
53	5	1	11
54	4	1	4
55	7	1	11
56	5	1	12
57	3	1	0
58	5	1	11
59	9	1	8
60	10	1	17
61	7	1	15
62	5	2	5
63	6	1	16
64	6	1	8
65	10	2	8
66	4	1	6
67	3	1	6
68	3	1	6
69	4	1	15
70	5	1	15
71	7	1	9
72	9	2	5
73	4	1	6
74	7	1	9
75	4	1	10
76	4	1	6
77	6	1	2
78	5	1	5
79	7	2	5
80	6	2	5
81	4	1	6
82	10	1	11
83	8	1	1
84	6	1	4
85	10	1	8
86	5	1	5
87	9	1	5
88	9	2	12
89	8	2	5
90	12	1	8
91	11	1	16
92	6	1	10
93	9	1	4
94	5	1	6
95	6	1	5
96	5	2	14
97	8	1	14
98	9	2	4
99	4	1	6
100	7	1	4
101	3	1	6
102	7	1	11
103	5	1	6
104	5	1	6
105	4	1	15
106	13	1	18
107	7	1	9
108	8	1	8
109	5	1	1
110	3	1	6
111	11	1	15
112	6	1	19
113	9	1	4
114	5	1	11
115	6	1	15
116	8	1	17
117	4	1	6
118	4	1	5
119	6	1	11
120	9	2	1
121	10	1	12
122	6	2	3
123	9	2	14
124	6	1	6
125	6	1	7
126	5	2	7
127	6	1	0
128	4	2	16
129	7	2	16
130	4	1	0
131	11	2	5
132	4	1	1
133	10	1	15
134	6	1	11
135	4	1	6
136	10	1	1
137	10	1	8
138	9	1	20
139	4	1	6
140	6	2	6
141	9	1	11
142	2	1	1
143	8	1	2
144	10	1	11
145	6	1	10
146	9	1	14
147	8	2	12
148	6	1	15
149	7	2	16
150	4	2	14
151	7	2	5
152	6	2	8
153	5	1	6
154	5	1	6
155	6	2	1
156	5	1	8
157	11	1	15
158	10	1	8
159	4	2	6
160	5	1	11
161	10	1	7
162	5	1	14
163	9	1	5
164	9	1	17
165	4	2	1
166	9	1	8
167	7	1	1
168	9	1	1
169	10	2	1
170	10	2	17
171	9	2	8
172	11	1	16
173	11	1	1
174	6	2	5
175	5	2	9
176	5	1	9
177	4	1	11
178	5	1	1
179	3	1	10
180	4	2	5
181	5	1	4
182	7	1	11
183	6	1	9
184	7	1	12
185	10	2	12
186	7	2	4
187	5	1	8
188	8	1	6
189	6	1	14
190	6	1	5
191	6	1	5
192	8	1	8
193	5	1	6
194	7	1	5
195	8	1	9
196	9	1	3
197	11	1	2
198	4	2	6
199	6	1	3
200	8	1	11
201	5	1	3
202	8	2	8
203	5	2	6
204	10	2	12
205	9	1	7
206	2	2	6
207	7	1	16
208	8	1	15
209	6	2	8
210	7	1	15
211	13	1	19
212	9	2	8
213	6	1	4
214	5	2	12
215	7	1	11
216	4	1	15
217	4	1	1
218	7	1	5
219	6	1	11
220	6	1	12
221	3	1	6
222	5	1	11
223	3	2	6
224	6	2	8
225	10	2	5
226	5	1	6
227	9	1	4
228	4	2	6
229	5	2	12
230	5	2	6
231	9	1	12
232	9	1	9
233	7	1	15
234	12	1	18
235	7	1	8
236	8	2	3
237	9	1	5
238	8	2	5
239	7	1	14
240	4	2	8
241	5	2	6
242	6	1	8
243	6	1	8
244	5	1	2
245	4	1	6
246	3	1	6
247	5	1	15
248	5	1	6
249	5	1	6
250	5	1	4
251	5	1	20
